City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Kavaratti,IN,10.5669,72.642,82.53,78,100,17.74,overcast clouds
307,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,68,100,8.57,overcast clouds
308,Fort Nelson,CA,58.8053,-122.7002,53.19,76,75,3.44,broken clouds
309,Goderich,CA,43.7501,-81.7165,83.03,73,0,10.36,clear sky
310,Okhotsk,RU,59.3833,143.3,59.13,85,4,4.56,clear sky
311,Masaki,JP,33.7876,132.7112,73.31,97,86,4.45,overcast clouds
312,Tiznit,MA,29.5833,-9.5,89.69,17,0,8.88,clear sky
313,Kargasok,RU,59.0556,80.8572,52.05,94,21,6.35,few clouds
314,Marsh Harbour,BS,26.5412,-77.0636,83.68,69,66,12.57,broken clouds
315,Bengkulu,ID,-3.8004,102.2655,75.6,91,28,4.07,scattered clouds
316,Lipin Bor,RU,60.2622,37.9763,66.85,59,0,6.98,clear sky
317,Botngard,NO,63.7653,9.8111,54.77,82,40,24.16,scattered clouds
318,Nehe,CN,48.4833,124.8333,71.13,95,100,5.41,overcast clouds
319,Jacareacanga,BR,-6.2222,-57.7528,100.04,19,5,5.37,clear sky
320,Paracuru,BR,-3.41,-39.0306,84.22,71,91,13.18,overcast clouds
321,Luxor,EG,25.6989,32.6421,102.25,17,0,4.61,clear sky
322,Mayo,US,38.8876,-76.5119,85.39,62,75,13.0,broken clouds
323,Traverse City,US,44.7631,-85.6206,83.14,46,75,9.22,broken clouds
324,Karratha,AU,-20.7377,116.8463,67.84,37,6,5.7,clear sky
325,Bathsheba,BB,13.2167,-59.5167,88.41,70,75,19.57,broken clouds
326,Dunedin,NZ,-45.8742,170.5036,46.8,93,100,6.29,overcast clouds
327,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,90,14.97,overcast clouds
328,Gouyave,GD,12.1646,-61.7296,84.97,79,20,23.02,few clouds
329,Lieksa,FI,63.3167,30.0167,59.74,70,4,3.02,clear sky
330,Boulder City,US,35.9786,-114.8325,100.78,25,1,13.8,clear sky
331,Lumby,CA,50.2498,-118.969,84.18,32,14,1.01,few clouds
332,North Bend,US,43.4065,-124.2243,74.91,66,1,13.8,clear sky
333,Esna,EG,25.2934,32.554,102.22,12,92,9.4,overcast clouds
334,Ribeira Brava,PT,32.65,-17.0667,78.71,81,1,2.84,clear sky
335,Port Blair,IN,11.6667,92.75,80.4,87,100,19.08,moderate rain
336,Bulungu,CD,-4.55,18.6,77.63,29,100,3.98,overcast clouds
337,Hovd,MN,48.0056,91.6419,62.47,53,6,4.81,clear sky
338,Saint-Pierre,RE,-21.3393,55.4781,69.48,82,0,9.22,light rain
339,Heihe,CN,50.2441,127.4902,66.78,97,100,5.79,overcast clouds
340,Saint-Joseph,RE,-21.3667,55.6167,68.38,82,92,13.98,light rain
341,Yagodnoye,RU,62.55,149.6667,42.01,75,12,3.94,few clouds
342,Korla,CN,41.7597,86.1469,77.07,30,90,15.75,overcast clouds
343,Kohlu,PK,29.8962,69.252,87.78,47,64,12.82,broken clouds
